scode	s_count	school_name	school_lat	school_long	cscode	center_name	center_address	center_capacity	distance_km
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27305	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	407	1.4563768666994255
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	409	0.9729081720346194
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27011	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	482	1.7348880091751409
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27447	JANAPATH SECONDARY SCHOOL	KALANKI	466	1.629953116763939
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27135	RICHMOND ACADEMY SECONDARY SCHOOL	KALANKI	400	1.272983163669046
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27095	EDMARK ACADEMY SECONDARY SCHOOL	KALANKI	347	0.5412203885675897
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	550	0.33833880948676437
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27447	JANAPATH SECONDARY SCHOOL	KALANKI	466	1.023356761237496
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27144	NEPALAYA SECONDARY SCHOOL	KALANKISTHAN	332	0.4630699941691919
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27080	CAPITAL HILL ACADEMY SECONDARY SCHOOL	TEKU	274	1.8654028858156995
