scode	school	cscode	center	center_address	allocation	distance_km
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27038	BHANUBHAKTA MEMORIAL SECONDARY SCHOOL	PANIPOKHARI	47	2.380134269780843
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27133	GLOBAL COLLEGE OF MANAGEMENT	BANESHWAR	11	1.507565052276955
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27086	MANMOHAN MEMORIAL COLLEGE	SORAKHUTTA	10	2.237821120495325
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27049	AMBITION ACADEMY	BANESHWAR	10	1.5236858561597637
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27299	THE INSIGHT VISION SECONDARY SCHOOL	DHUMBARAHI	32	2.8527973893996834
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27305	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	64	4.206335805118639
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27505	SHANTI SIKSHYA SECONDARY SCHOOL	THAHITI	10	1.7208492599377667
27192	पदम कन्या विद्याश्रम मा..वि., डिल्लीवजार	27247	MAHENDRA BOUDHA SECONDARY SCHOOL	CHABAHIL	7	4.190640714098976
27357	पुष्पसदन वोर्डिङ स्कुल कीर्तिपुर	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	64	0.7492526441626524
27016	नामग्याल मा.वि., गोकर्ण	27041	ADARSHA SECONDARY SCHOOL	BHADRABAS	35	1.8920173122417812
27304	नेशनल क्रियटिभ कोएजुकेशनल मा.वि, चन्डोल	27090	NEW MILINIUM ACADEMY	SUKEDHARA	7	0.6611519863150985
27130	मंगलोदय बहुमुखी क्याम्पस, थानकोट	27432	PRABHAT SECONDARY SCHOOL	THANKOT	91	0.6998634758101248
27392	रिडर्स इं मोडेल स्कुल गोकर्णेश्वर	27165	RAINBOW INTERNATIONAL BOARDING SCHOOL	DALLU CHAUNI	77	0.32561913163260975
27392	रिडर्स इं मोडेल स्कुल गोकर्णेश्वर	27311	SITAPAILA SECONDARY SCHOOL	SITAPAILA	27	1.4438558502972196
27185	क्याम्ब्रिज इन्टरनेशनल वोडिङ्ग मा.वि., कलंकी	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	100	0.6244276469096272
27185	क्याम्ब्रिज इन्टरनेशनल वोडिङ्ग मा.वि., कलंकी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	8	1.2662391970430291
27354	कार्डिनल इन्टरनेशनल बो स्कुल फर्पिङ	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	39	5.408453069118433
27161	क्यामेलिया मा.वि., कालिमाटी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	31	0.8469034277294192
27002	ग्यालेक्सी पब्लिक मा.वि., ज्ञानेश्वर	27279	MAHENDRA RASTRIYA SECONDARY SCHOOL	BALUWATAR	42	1.8875136492186158
27345	जुगल इङ्गलिस मेडियम स्कुल कपन	27010	CHIRAN MILAN BISHWASHANTI CAMPUS	BASBARI	39	1.5574925197254994
27445	बौद्ध इन्टरनरेशनल मा.वि. गोकर्णेश्वर	27307	GRAMSHIKSHA MANDIR SECONDARY SCHOOL	KAPAN	100	1.8855138404272287
27445	बौद्ध इन्टरनरेशनल मा.वि. गोकर्णेश्वर	27321	WITS ACADEMY	BHUWALDANDA	39	1.3800402322478165
27508	हाइलि क्रिएटिभ स्कुल, कागेश्वरी मनोहरा, काठमाडौं	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	1	1.3311884773798222
27323	दिब्यज्ञान इङ्लिस बोर्डिङ स्कुल, डल्लु	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	18	0.5437843592078094
27010	चिरन–मिलन विश्वशान्ति क्याम्पस, बासवारी	27045	SOUTH WESTERN ACADEMY SECONDARY SCHOOL	BASUNDHARA	97	1.1955555355364993
27342	मनमैजु मा.वि., मनमैजु	27207	HERALD SECONDARY SCHOOL	BASUNDHARA	62	1.9685407386378786
27463	अक्षरिका स्कुल, कागेश्वरी मनोहरा, काठमाडौं	27479	LIMPIYA NATIONAL SCHOOL	GOKARNESHWAR	1	1.629271358714
27480	काभ्रेस्थली मा.वि., तारकेश्वर, काभ्रेस्थली	27186	KALIDEVI SECONDARY SCHOOL	KAVRESTHALI	12	2.329814193344442
27450	सूर्योदय आवासिय मा.वि., घट्टेकुलो, डिल्लीबजार	27159	BIJAY SMARAK MA VI	DILLIBAZAR	5	0.374744998442791
27280	निलबाराही मा.वि,काठमाडौं, टंकेश्वर	27058	EVEREST MA VI	SOLTEEMOD	22	1.0372908800241945
27280	निलबाराही मा.वि,काठमाडौं, टंकेश्वर	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	81	1.8363946203041406
27280	निलबाराही मा.वि,काठमाडौं, टंकेश्वर	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	1	1.3956059424725298
27493	त्रिमुर्ति सह शिक्षा मा.वि., बाँसबारी	27010	CHIRAN MILAN BISHWASHANTI CAMPUS	BASBARI	6	0.4038638799375529
27441	ब्राइट फ्युचर सेकेन्डरी स्कूल, नैकाप, काठमाडौं	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	115	0.9814930003731879
27294	ओलिभर पब्लिक मा.वि, महाराजगञ्ज, काठमाडौं	27278	BASBARI SECONDARY SCHOOL	BASBARI	1	0.3446014674197894
27090	न्यू मिलेनियम एकाडेमी मा.वि., सुकेधारा	27025	BAGMATI BOARDING SECONDARY SCHOOL	SUKEDHARA	100	0.12693667136870707
27090	न्यू मिलेनियम एकाडेमी मा.वि., सुकेधारा	27236	BROOKLIN ACADEMY SECONDARY SCHOOL	SUKEDHARA	70	0.32559962809688575
27021	अन्नपूर्ण मा.वि., ज्याठा	27075	SIGMA SECONDARY SCHOOL	SORAKHUTTA	10	1.1235392814546008
27021	अन्नपूर्ण मा.वि., ज्याठा	27311	SITAPAILA SECONDARY SCHOOL	SITAPAILA	48	3.203237876390865
27060	लिंकन मा.वि., गंगवु	27207	HERALD SECONDARY SCHOOL	BASUNDHARA	111	1.4197732846346462
27060	लिंकन मा.वि., गंगवु	27279	MAHENDRA RASTRIYA SECONDARY SCHOOL	BALUWATAR	89	1.7202982975117085
27060	लिंकन मा.वि., गंगवु	27101	KATHMANDU MODEL SECONDARY SCHOOL	BAGBAZAR	10	3.1531936095718494
27060	लिंकन मा.वि., गंगवु	27278	BASBARI SECONDARY SCHOOL	BASBARI	30	2.759574424475551
27471	वर्ल्ड युथ इन्टरनेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27458	ARUNODAYA SECONDARY SCHOOL	GOKARNESHWAR ARUBARI	6	1.9905496865852716
